item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
book,"Compêndio dos Símbolos, Definições e Declarações de Fé e Moral","Heinrich Denzinger",Heinrich,Denzinger,9788515034390,8515034395,"A pastoral, hoje, revela grande sede das fontes, como se mostra na animada busca do público católico por conhecer melhor a Bíblia. Pergunta-se, porém, para que traduzir uma obra volumosa e altamente técnica dedicada a pronunciamentos, dos mais diversos tipos, do Magistério eclesiástico? Respondemos com uma parábola. Quem prova, nas montanhas, da água de uma fonte natural, estranha, depois, o gosto da água encanada e tratada... mas é essa que temos à disposição no dia-a-dia. A água da fonte é a Bíblia, os Evangelhos. A água tratada é a catequese que recebemos. E o encanamento, vamos conhecê-lo pelo ""Denziger"": os documentos aqui reunidos são um espelho das práticas e discussões que conduziram ao atual modo de formular e praticar a fé no âmbito da Igreja Católica. Espelho, observe-se, a partir de uma determinada perspectiva: a dos pronunciamentos do Magistério. Outras perspectivas, o estudioso da teologia católica as encontrará nos textos e nas tradições e práticas não escrituradas do povo fiel e de seus expoentes teológicos e místicos.",Loyola,2010-01-01,,,,,,,,,,,,,,,,,,2018-07-20,1
book,"Código de Direito Canônico",,,,9788515009275,8515009277,"O livro 'Código de Direito Canônico' trata do texto promulgado por João Paulo II em 25 de janeiro de 1983, traduzido pela Conferência Nacional dos Bispos do Brasil (CNBB). O 'Código de Direito Canônico' é um documento legislativo da Igreja e tem o objetivo de tornar visível sua estrutura hierárquica e orgânica.",Loyola,1983-01-01,,,,,,,,,,,,,,,,,,2018-07-20,1
book,"Catecismo da Igreja Católica",,,,9788515021529,8515021528,,"Edicoes Loyola",,,catecismo,,,937,,,,,,,,,," Completed"," 2022-09-30"," 2023-08-22",2018-07-20,1
book,"Catecismo Maior de São Pio X","Pio X",Pio,X,9788585432218,8585432217,"Esta obra tem o intuito de ser um resumo do Catecismo Romano, visando à formação dos jovens e adultos. Suas perguntas e respostas procuram ajudar a reter a essência da doutrina católica de todos os tempos. Busca apresentar dois anexos - 'As Festas do Ano Litúrgico' e 'História da Religião', abrangendo o Antigo Testamento, o Novo Testamento e a História da Igreja.",,,,catecismo,,,242,,,,,,,,,,,,,2018-07-20,1
book,"Catecismo Romano - O Catecismo do Concílio de Trento","Vários Autores",Vários,Autores,9788564734135,8564734133,"Monumental Obra Da Fé Católica, Obra De Referência, Indispensável Para Os Párocos, Coordenadores De Catequese, Seminários E Casas De Formação Teológica, Que Deve Ser Colocada No Conjunto Das Obras De Estudo Dos Que Desejam Aprofundar, Enriquecer E Iluminar O Seu Conhecimento Dos Elementos Da Fé Católica. Contém A Práxis Concionatória, Um Sumário Catequístico, Um Índice Esquemático E Um Índice Analítico-Remissivo, Para Facilitar O Seu Estudo E Compreensão.",Castela,2017-01-01,,catecismo,,,,,,,,,,,,,,,,2018-07-20,1
book,"Falar com Deus - Volume 1","Francisco Fernández-Carvajal",Francisco,Fernández-Carvajal,9788574650159,8574650153,,"Quadrante Editora",2000-01-01,"Falar com Deus",categoria.meditação,,,,,,,,,,,,,,,,2018-07-20,1
book,"Falar com Deus - Volume 2","Francisco Fernández-Carvajal",Francisco,Fernández-Carvajal,9788574650296,8574650293,,"Quadrante Editora",2011-01-01,"Falar com Deus",categoria.meditação,,,,,,,,,,,,,,,,2018-07-20,1
book,"Falar com Deus - Volume 3","Francisco Fernández-Carvajal",Francisco,Fernández-Carvajal,9788574650630,8574650633,,"Quadrante Editora",2000-01-01,"Falar com Deus",categoria.meditação,,,,,,,,,,,,,,,,2018-07-20,1
book,"Falar Com Deus - Volume 5","Francisco Fernández-Carvajal",Francisco,Fernández-Carvajal,9788574650166,8574650161,,"Quadrante Editora",2000-01-01,"Falar com Deus",categoria.meditação,,,,,,,,,,,,,,,,2018-07-20,1
book,"Falar Com Deus - Volume 6","Francisco Fernández-Carvajal",Francisco,Fernández-Carvajal,9788574650647,8574650641,,"Quadrante Editora",2003-01-01,"Falar com Deus",categoria.meditação,,,,,,,,,,,,,,,,2018-07-20,1
book,"Glórias de Maria","Santo Afonso Maria de Ligório",Santo,Ligório,9788572001168,8572001166,,Santuário,2011-01-01,,,,,,,,,,,,,,,,,,2018-07-20,1
book,"A Prática do Amor a Jesus Cristo","Santo Afonso Maria de Ligório",Santo,Ligório,9788572004404,8572004408,,SANTUARIO,2004-01-01,,,,,,,,,,,,,,,,,,2018-07-20,1
book,"A Oração","Santo Afonso Maria de Ligório",Santo,Ligório,9788572001175,8572001174,"Quem reza se salva, quem não reza se condena. Partindo dessa afirmativa, Santo Afonso escreveu este livro e apresentou-o como: o grande meio da oração para conseguir a salvação eterna e todas as graças que queremos de Deus. Nele aprendemos a necessidade, o valor e as condições da oração. Está entre os melhores que já foram publicados sobre a oração.",Santuário,2010-01-01,,,,,,,,,,,,,,,,,,2018-07-20,1
book,Sulco,"Josemaría Escrivá",Josemaría,Escrivá,9788574650890,8574650897,,(vide),2005-01-01,,,,,,,,,,,,,,,,,,2018-07-20,1
book,Forja,"Josemaría Escrivá",Josemaría,Escrivá,9788574650920,8574650927,,,2005-01-01,,,,,357,,,,,,,,,,,,,2018-07-20,1
book,Caminho,"Josemaría Escrivá",Josemaría,Escrivá,9788574650012,8574650013,,"Quadrante Editora",2001-01-01,,,,,,,,,,,,,,,,,,2018-07-20,1
book,"Visitas a Jesus Sacramentado e a Nossa Senhora","Santo Afonso Maria de Ligório",Santo,Ligório,9788572008266,8572008268,,Santuário,2011-01-01,,,,,,,,,,,,,,,,,,2018-07-20,1
book,"Mensis Eucharisticus - Mês Eucarístico","Cúria Romana",Cúria,Romana,9788579721397,8579721393,"As reflexões que esta obra propõe são de tal fragrância e profundidade que podem constituir um grande subsídio de espiritualidade eucarística. O texto convida a aproximar-se de Cristo, antes e depois da Missa, fundamentado na Palavra de Deus, com inumeráveis citações bíblicas, que tornam todas as páginas do livro plenas de sabedoria bíblica, de substância teológica e de vivo sentimento espiritual.",CNBB,2014-01-01,,,,,,,,,,,,,,," Completed"," "," 2020-07-27",2018-07-20,1
book,"Imitação de Cristo","Tomás de Kempis",Tomás,Kempis,9788532649829,8532649823,"Esta é uma das obras mais difundidas da espiritualidade cristã. É por ela que a espiritualidade moderna ganha seu florescimento com decisivos traços psicológicos preocupados, sobretudo, em discernir os movimentos da alma que busca seguir a Jesus Cristo. A obra traduz uma pedagogia religiosa sinalizada pelo caminho da vida interior. Trata-se de uma coletânea de reflexões escritas em estilo simples, destinadas a alimentar a vida espiritual dos cristãos.[...]",Vozes,2015-01-01,,,,,,,,,,,,,,,,,,2018-07-20,1
book,"Imitação de Cristo","Tomás de Kempis, Padre J. L. Roquete",Tomás,Kempis,9788527605618,8527605619,"Obra clássica da espiritualidade cristã. Como o próprio título indica, a obra procura fazer com que cada cristão se aproxime do Mestre na coerência de vida e na fidelidade.",,,,,,,,,,,,,,,,,,,,2018-07-20,1
book,"Documentos do Celam",,,,9788534923248,8534923248,"Colocando disponíveis num só Livro numa só edição as 4 Conferências Gerais do Episcopado Latino-Americano e caribenho (Rio de Janeiro Medellín Puebla e Santo Domingo) a PAULUS apresenta o livro Documentos do CELAM.Com a I Conferência deu-se início ao CELAM (Conselho Episcopal Latino-Americano); com a II Conferência deu-se o aspecto pastoral funcional para nossa Igreja na América Latina acentuando a libertação a partir de uma situação opressora gerando uma violência institucionalizada; com a III Conferência Geral buscando a comunhão e a participação em vista da libertação colocou-se a evangelização na América Latina sobre o signo da dignidade humana fundamental; com a IV Conferência Geral deu-se um passo decisivo rumo à inculturação um evangelho inculturado em nossas Igrejas.",PAULUS,2005-01-01,,,,,,,,,,,,,,,,,,2018-07-20,1
book,"Compêndio do Vaticano II","Frei Frederico Vier O.F.M. (coord.)",Frei,O.F.M.,9788532601520,8532601529,"Apresenta todos os documentos oficiais do Concílio Vaticano II em tradução portuguesa para o Brasil: Constituições, Decretos e Declarações. Um índice analítico facilita sua consulta.",Vozes,2000-01-01,,,,,,,,,,,,,,,,,,2018-07-20,1
book,"Livro do Gênesis, O","Scott Hahn, Curtis Mitch",Scott,Hahn,9788584910175,8584910174,"A coleção Cadernos de Estudo Bíblico que a Editora Ecclesiae organiza para os leitores é projetada para conduzi-los pela Escritura dentro das diretrizes da Igreja - fidelidade ao cânon, à tradição e ao credo. São os princípios interpretativos da Igreja, portanto, que dão forma unificada às partes deste livro, o que faz com que o estudo seja preciso e bastante recompensador. Os autores são eminentes mestres e doutores em Teologia e Sagrada Escritura: Scott Hahn também é autor de uma série de outros best-sellers, como O banquete do Cordeiro e Todos os caminhos levam a Roma. Neste volume, inicia-se a sequência de comentários ao Antigo Testamento com a análise do livro do Gênesis.[...]",Ecclesiae,2000-01-01,"Cadernos de Estudo Bíblico","assunto.bíblia, cadernos de estudo bíblico",,,,,,,,,,,,," Completed"," 2023-02-17"," 2023-05-30",2018-07-20,1
book,"Livro do Êxodo, O","Scott Hahn, Curtis Mitch",Scott,Hahn,9788584910298,8584910298,"A coleção Cadernos de Estudo Bíblico que a Editora Ecclesiae organiza para os leitores é projetada para conduzi-los pela Escritura dentro das diretrizes da Igreja - fidelidade ao cânon, à tradição e ao credo. São os princípios interpretativos da Igreja, portanto, que dão forma unificada às partes deste livro, o que faz com que o estudo seja preciso e bastante recompensador. Os autores são eminentes mestres e doutores em Teologia e Sagrada Escritura: Scott Hahn também é autor de uma série de outros best-sellers, como O banquete do Cordeiro e Todos os caminhos levam a Roma. Neste volume, dá-se sequência aos comentários ao Antigo Testamento com a análise do livro do Êxodo.",Ecclesiae,2016-01-01,"Cadernos de Estudo Bíblico","assunto.bíblia, cadernos de estudo bíblico",,,,,,,,,,,,," Completed"," 2023-05-30"," 2023-07-18",2018-07-20,1
book,"Evangelho de São Mateus, O","Scott Hahn, Curtis Mitch",Scott,Hahn,9788563160799,8563160796,"Este livro conduz o leitor por um profundo estudo do evangelho de Mateus, usando como guia o proprio texto biblico e as diretrizes da propria Igreja Catolica para sua interpretacao. Cada pagina traz varias observacoes e oferece novos esclarecimentos e comentarios dos renomados professores Scott Hahn e Curtis Mitch, especialistas em estudo biblico, alem de algumas interpretacoes feitas pelos Padres da Igreja, ha muito consagradas. Essas notas de estudo ajudam a tornar explicito aquilo que Sao Mateus frequentemente toma por pressuposto, alem de fornecerem tambem preciosas informacoes historicas, culturais, geograficas e teologicas, pertinentes ao evangelho. Neste estudo ainda incluem-se quadros, ensaios sobre determinados topicos e estudos especificos sobre determinadas palavras; ha em cada pagina uma secao de referencias facilmente utilizavel e, para cada capitulo do evangelho, sao propostas algumas questoes para aprofundar o entendimento pessoal da santa Palavra de Deus. Ha ainda um ensaio introdutorio que abarca questoes de autenticidade, data, destinatarios, estrutura e temas do evangelho, alem de um esquema de sua estrutura e diversos mapas.",Ecclesiae,2014-01-01,"Cadernos de Estudo Bíblico","assunto.bíblia, cadernos de estudo bíblico",,,,,,,,,,,,," Completed"," "," 2021-09-26",2018-07-20,1
book,"Evangelho de São Marcos, O","Scott Hahn, Curtis Mitch",Scott,Hahn,9788563160843,8563160842,,Ecclesiae,2014-01-01,"Cadernos de Estudo Bíblico","assunto.bíblia, cadernos de estudo bíblico",,,,,,,,,,,,," Completed"," "," 2021-10-06",2018-07-20,1
